,Rock,Electronic,Pop,Folk_World_&_Country,Jazz,Funk_Soul,Classical,Hip_Hop,Latin,Stage_&_Screen,Reggae,Blues,Non_Music,Children's,Brass_&_Military 
0,Pop Rock,House,Vocal,Folk,Easy Listening,Soul,Romantic,Gangsta,Bolero,Soundtrack,Dancehall,Blues Rock,Comedy,Story,Marches
1,Punk,Experimental,Pop Rock,Country,Swing,Disco,Classical,Pop Rap,Salsa,Score,Reggae,Rhythm & Blues,Spoken Word,Radioplay,Brass Band
2,Alternative Rock,Synth-pop,Ballad,Folk Rock,Big Band,Funk,Baroque,RnB/Swing,Cumbia,Theme,Roots Reggae,Rock & Roll,Radioplay,Nursery Rhymes,Military
3,Indie Rock,Techno,Chanson,African,Contemporary Jazz,Rhythm & Blues,Modern,Conscious,Ballad,Musical,Dub,Electric Blues,Field Recording,Educational,Folk
4,Hard Rock,Ambient,Schlager,Vocal,Vocal,Contemporary R&B,Opera,Hip Hop,MPB,Vocal,Ska,Country Blues,Experimental,Holiday,Polka
5,Rock & Roll,Electro,Synth-pop,Gospel,Fusion,Pop Rock,Contemporary,Instrumental,Samba,Easy Listening,Reggae-Pop,Chicago Blues,Audiobook,Soundtrack,Volksmusik
6,Hardcore,Trance,Europop,Volksmusik,Jazz-Funk,Gospel,Choral,House,Tango,Pop Rock,Rocksteady,Soul,Poetry,Vocal,Pipe & Drum
7,Heavy Metal,Downtempo,Easy Listening,Ballad,Soul-Jazz,Ballad,Renaissance,Electro,Latin Jazz,Bollywood,Lovers Rock,Pop Rock,Religious,Audiobook,Vocal
8,Psychedelic Rock,Disco,Indie Pop,Country Rock,Bop,Synth-pop,Neo-Classical,Hardcore Hip-Hop,Cha-Cha,Ballad,Calypso,Classic Rock,Interview,Folk,Political
9,Folk Rock,Tech House,Disco,Celtic,Jazz-Rock,Vocal,Soundtrack,Trap,Merengue,Hindustani,Ragga,Folk,Noise,Spoken Word,Schlager
10,Prog Rock,Noise,Soft Rock,Bluegrass,Latin Jazz,Jazz-Funk,Religious,Contemporary R&B,Vocal,Video Game Music,Pop Rock,Vocal,Education,Chanson,Classical
11,Classic Rock,Deep House,Rock & Roll,Laïkó,Free Improvisation,House,Vocal,Boom Bap,Rumba,Ambient,Soca,Psychedelic Rock,Story,Theme,Instrumental
12,Black Metal,Drum n Bass,Indie Rock,Pop Rock,Hard Bop,Soul-Jazz,Holiday,Jazzy Hip-Hop,Flamenco,Synth-pop,Disco,Folk Rock,Ambient,Religious,Religious
13,Blues Rock,Progressive House,Soul,Soundtrack,Free Jazz,RnB/Swing,Experimental,Thug Rap,Ranchera,Chanson,Soul,Piano Blues,Dialogue,Novelty,Romantic
14,Experimental,Industrial,Soundtrack,Chanson,Cool Jazz,Rock & Roll,Impressionist,Downtempo,Easy Listening,Experimental,Punk,Delta Blues,Abstract,Musical,Big Band
15,Death Metal,Euro House,Alternative Rock,Acoustic,Post Bop,Boogie,Easy Listening,Experimental,Mambo,Rock & Roll,House,Modern Electric Blues,Promotional,Ballad,Easy Listening
16,New Wave,Abstract,Folk,Polka,Smooth Jazz,Downtempo,Operetta,Pop Rock,Pop Rock,Disco,Funk,Ballad,Monolog,Choral,Soundtrack
17,Soft Rock,Hardcore,House,Religious,Experimental,Soundtrack,Modern Classical,Synth-pop,Folk,Modern Classical,Synth-pop,Country,Speech,Pop Rock,Modern
18,Garage Rock,Minimal,Dance-pop,Holiday,Dixieland,Electro,Ambient,Alternative Rock,Bossanova,Contemporary,Ragga HipHop,Country Rock,Folk,Comedy,Contemporary
19,Synth-pop,Pop Rock,J-pop,Schlager,Soundtrack,Neo Soul,Folk,G-Funk,Guaracha,Comedy,Alternative Rock,Acoustic,Political,Schlager,Choral
20,Thrash,Breakbeat,Holiday,Hindustani,Soul,Soft Rock,Score,Soul,Afro-Cuban,Anison,Downtempo,Gospel,Drone,Europop,Holiday
21,Acoustic,Drone,Folk Rock,Experimental,Funk,Easy Listening,Neo-Romantic,Bass Music,Son,Big Band,Euro House,Swing,Special Effects,Classical,Industrial
22,Country Rock,Progressive Trance,New Wave,Easy Listening,Bossa Nova,Pop Rap,Medieval,Euro House,Bossa Nova,Folk,New Wave,Hard Rock,Soundtrack,Education,Spoken Word
23,Ballad,IDM,Electro,Indie Rock,Ballad,Doo Wop,Organ,Funk,Disco,Soul,Ballad,Harmonica Blues,Public Broadcast,Score,Theme
24,Vocal,New Wave,Country,Flamenco,Avant-garde Jazz,Psychedelic,Ballad,Trip Hop,Funk,Funk,Electro,Alternative Rock,Sound Art,Poetry,Ballad
25,Art Rock,Breaks,Euro House,Bollywood,Pop Rock,Afrobeat,Oratorio,Cut-up/DJ,Guaguancó,Alternative Rock,African,Texas Blues,Therapy,Gospel,Experimental
26,Post-Punk,Dark Ambient,Rhythm & Blues,Alternative Rock,Rhythm & Blues,Fusion,Post-Modern,Abstract,Latin,Classical,Pop Rap,Jump Blues,Vocal,Synth-pop,Speech
27,Noise,Dance-pop,Beat,Ambient,Modal,Alternative Rock,Theme,Disco,Chanson,Swing,RnB/Swing,Garage Rock,Pop Rock,Disco,Score
28,Doom Metal,Hard Trance,Downtempo,Psychedelic Rock,Prog Rock,Psychedelic Rock,New Age,Europop,Mariachi,Downtempo,Hip Hop,Funk,Industrial,Country,Dark Ambient
29,Beat,Electro House,Funk,Indian Classical,Disco,Blues Rock,Abstract,Ragga HipHop,House,Opera,Europop,Doo Wop,Musique Concrète,Experimental,Baroque
30,Avantgarde,Acid,Novelty,Rock & Roll,Downtempo,New Jack Swing,Musical,Ballad,Soul,Schlager,Rhythm & Blues,Louisiana Blues,Parody,Romantic,Chanson
31,Rockabilly,Alternative Rock,Acoustic,Éntekhno,Chanson,African,Minimal,Breakbeat,African,Psychedelic Rock,Indie Rock,Boogie Woogie,Chanson,Dialogue,Celtic
32,Grindcore,Europop,Psychedelic Rock,Rumba,Ragtime,Europop,Contemporary Jazz,Horrorcore,Reggaeton,Romantic,Vocal,Soul-Jazz,Sermon,Modern,Swing
33,Folk,Leftfield,Classic Rock,Canzone Napoletana,Ambient,Classic Rock,Chanson,Dance-pop,Vallenato,Spoken Word,Experimental,Southern Rock,Avantgarde,Easy Listening,Neofolk
34,Lo-Fi,Dubstep,Kayōkyoku,Soft Rock,Folk,Dance-pop,Gospel,Indie Rock,Cubano,Soft Rock,Dubstep,Rockabilly,Dark Ambient,Parody,Dixieland
35,Post Rock,Psy-Trance,Experimental,New Age,Theme,Hip Hop,Instrumental,Breaks,Norteño,Modern,Reggaeton,Experimental,New Age,Dance-pop,Ragtime
36,Rhythm & Blues,Dub,Pop Rap,Rockabilly,Avantgarde,Folk Rock,Avantgarde,Soundtrack,Rock & Roll,Story,Drum n Bass,Easy Listening,Alternative Rock,Rock & Roll,Neo-Classical
37,Power Pop,Indie Rock,Big Band,Pacific,Holiday,Smooth Jazz,Pop Rock,Hip-House,Forró,Jazz-Funk,Folk Rock,Big Band,Technical,Contemporary,Pasodoble
38,Glam,Hard House,RnB/Swing,Blues Rock,Space-Age,Chanson,Spoken Word,Dancehall,Corrido,Electro,Rock & Roll,Indie Rock,Novelty,Euro House,Field Recording
39,Industrial,Hip Hop,Swing,Nordic,Psychedelic Rock,New Wave,Light Music,Drum n Bass,Europop,Dialogue,Folk,Soft Rock,Gospel,Folk Rock,Pop Rock
40,Goth Rock,Funk,Theme,Soul,Instrumental,Jazz-Rock,Schlager,Ambient,Porro,Classic Rock,Soft Rock,Soundtrack,Punk,Pop Rap,Novelty
41,Soul,New Age,Contemporary R&B,Honky Tonk,Afro-Cuban Jazz,Experimental,Free Improvisation,Techno,Boogaloo,Folk Rock,Dance-pop,Prog Rock,Synth-pop,Promotional,Ambient
42,Indie Pop,Modern Classical,Bollywood,Indie Pop,Future Jazz,Reggae,Marches,Dub,Soundtrack,J-pop,Steel Band,Jazz-Rock,Minimal,Acoustic,Opera
43,Ambient,Ballad,Power Pop,Fado,Schlager,Indie Rock,Drone,Vocal,Tejano,Country,Jungle,Chanson,Ballad,Funk,Gospel
44,Emo,EBM,Parody,Choral,Score,Acid Jazz,Downtempo,Cloud Rap,Synth-pop,Abstract,Contemporary R&B,Beat,Health-Fitness,Special Effects,Musical
45,Soundtrack,Italo-Disco,Gospel,Soukous,Synth-pop,Folk,Acoustic,Trance,Fusion,Rhythm & Blues,Soundtrack,Punk,Country,Alternative Rock,Comedy
46,Stoner Rock,Trip Hop,Country Rock,Highlife,Abstract,Contemporary Jazz,Musique Concrète,Grime,Pachanga,Hard Rock,Chanson,Dixieland,Rock & Roll,Villancicos,Country
47,Disco,Jungle,Light Music,Hawaiian,Samba,Holiday,Prog Rock,Neo Soul,Descarga,Soul-Jazz,Classic Rock,Bluegrass,Classical,Volksmusik,Tango
48,Shoegaze,Soundtrack,Mandopop,Funk,Rock & Roll,MPB,Dark Ambient,Punk,Psychedelic Rock,Prog Rock,Afrobeat,Avantgarde,Free Improvisation,Bubblegum,Guggenmusik
49,Surf,Hardstyle,Garage Rock,Disco,Blues Rock,City Pop,Big Band,New Jack Swing,Guajira,House,Blues Rock,Contemporary Jazz,Psychedelic Rock,Ambient,Light Music
50,Electro,Soul,Religious,Zouk,Contemporary,Latin Jazz,Early,Leftfield,Alternative Rock,Instrumental,Hardcore,Ragtime,Holiday,Soft Rock,Romani
51,Pop Punk,Synthwave,Comedy,Tango,Folk Rock,P.Funk,Synth-pop,Dubstep,Son Montuno,Neo-Classical,Acoustic,Fusion,Acoustic,MPB,Noise
52,Chanson,Garage House,Prog Rock,Downtempo,Alternative Rock,Country,Zarzuela,Rhythm & Blues,Beat,Contemporary Jazz,Reggae Gospel,Holiday,Movie Effects,Marches,Disco
53,Oi,Darkwave,Ambient,Bolero,Soft Rock,Garage Rock,Field Recording,Screw,Afro-Cuban Jazz,Indie Rock,Eurodance,Synth-pop,Sound Collage,Anison,Kolo
54,Country,Vaporwave,Blues Rock,Punk,Acid Jazz,Theme,Poetry,UK Garage,Big Band,Holiday,Breakbeat,Disco,Educational,Opera,Promotional
55,Ska,Happy Hardcore,Instrumental,Country Blues,Gypsy Jazz,Euro House,Symphonic Rock,Nu Metal,Euro House,Novelty,Latin,Jazz-Funk,Easy Listening,Soul,Jazz-Funk
56,Doo Wop,Eurodance,Punk,Prog Rock,Lounge,Jazzy Hip-Hop,Tango,Crunk,Downtempo,Operetta,Conscious,Memphis Blues,Schlager,Abstract,Funk
57,Jazz-Rock,UK Garage,Eurodance,Comedy,House,Prog Rock,Alternative Rock,Electro House,Schlager,Lounge,Holiday,Lo-Fi,Lo-Fi,Field Recording,Modern Classical
58,Funk,Tribal,Doo Wop,Cumbia,Mambo,Deep House,Celtic,Eurodance,Charanga,Blues Rock,Trip Hop,East Coast Blues,Sound Poetry,Electro,Education
59,Metalcore,Italodance,Hard Rock,Europop,Cha-Cha,Beat,Story,Reggae,Soft Rock,Beat,Techno,Art Rock,Contemporary,Karaoke,Abstract
60,Grunge,Vocal,Hindustani,Luk Thung,Noise,Hard Rock,Video Game Music,Hardcore,Beguine,Country Rock,Ambient,Downtempo,Harsh Noise Wall,Punk,Samba
61,Progressive Metal,Future Jazz,Art Rock,Fusion,New Age,Instrumental,Ballet,Acid Jazz,Jazz-Funk,Industrial,Dub Poetry,Cool Jazz,Classic Rock,Indie Rock,Music Hall
62,Arena Rock,RnB/Swing,Trance,Romani,MPB,Schlager,Electro,Reggaeton,Dance-pop,Music Hall,Gospel,Smooth Jazz,Folk Rock,Speech,Operetta
63,AOR,Glitch,Surf,MPB,Acoustic,Dub,Brass Band,Industrial,Nueva Cancion,Techno,Hard Rock,Bop,Electro,Big Band,Parody
64,Southern Rock,Harsh Noise Wall,K-pop,Classic Rock,Bossanova,Kayōkyoku,Noise,DJ Battle Tool,Polka,Indian Classical,Trance,African,Indie Rock,House,Folk Rock
65,Nu Metal,Indie Pop,Musical,Classical,Art Rock,Country Rock,Education,Soft Rock,Swing,Chiptune,Psychedelic Rock,Stoner Rock,Power Electronics,African,Synth-pop
66,Symphonic Rock,Pop Rap,Lo-Fi,Synth-pop,Afrobeat,AOR,Industrial,IDM,Calypso,Kayōkyoku,Toasting,Surf,Soul,Népzene,Rock & Roll
67,Downtempo,Latin,Glam,Afrobeat,Tango,Reggae-Pop,Disco,Deep House,Andean Music,Light Music,Cumbia,Piedmont Blues,Public Service Announcement,Indie Pop,Dialogue
68,Power Metal,Dub Techno,Italo-Disco,Calypso,African,Garage House,Swing,Indie Pop,Gospel,Acoustic,Leftfield,Mod,Disco,Baroque,Electro
69,Space Rock,Gabber,Hip Hop,Rhythm & Blues,Country,Samba,Indian Classical,Latin,Electro,Radioplay,Breaks,New Wave,Hard Rock,Monolog,Soul
70,Speed Metal,Avantgarde,Music Hall,Spoken Word,Gospel,Breakbeat,Avant-garde Jazz,Big Beat,Bachata,Cool Jazz,Salsa,Ambient,Downtempo,Health-Fitness,Punk
71,House,Breakcore,Reggae-Pop,Neofolk,Musical,Conscious,Volksmusik,Turntablism,Folk Rock,New Wave,Mento,Zydeco,Techno,Mandopop,Renaissance
72,Fusion,Hi NRG,AOR,Samba,Electro,Indie Pop,Fusion,Bounce,Danzon,Pop Rap,Zouk,Ska,Musical,Catalan Music,Alternative Rock
73,Krautrock,Power Electronics,City Pop,Contemporary,Afro-Cuban,Big Band,Folk Rock,Garage House,Compas,Dark Ambient,Samba,Heavy Metal,Prog Rock,Instrumental,Flamenco
74,Post-Hardcore,Acid House,Tango,Contemporary Jazz,Classic Rock,Trip Hop,Twelve-tone,Hard Rock,Conjunto,Smooth Jazz,Indie Pop,Instrumental,Modern Classical,Prog Rock,Educational
75,Europop,Dungeon Synth,MPB,Field Recording,Salsa,Breaks,Educational,Reggae-Pop,Música Criolla,Parody,Abstract,Cajun,Art Rock,Eurodance,Poetry
76,Sludge Metal,Psychedelic Rock,Techno,Cajun,Indie Rock,Ska,Art Rock,Future Jazz,Holiday,Contemporary R&B,Post-Punk,Free Improvisation,Theme,Celtic,Acoustic
77,Mod,Punk,Latin,Bhangra,Spoken Word,Future Jazz,Military,Freestyle,Batucada,Europop,Deep House,Electro,New Wave,Psychedelic Rock,Contemporary Jazz
78,Abstract,Musique Concrète,Rockabilly,Lo-Fi,Bolero,Mod,Classic Rock,Broken Beat,Contemporary Jazz,New Age,Tribal,Abstract,Erotic,Avantgarde,African
79,Schlager,Minimal Techno,Score,Instrumental,Classical,Acoustic,Canzone Napoletana,Lo-Fi,Experimental,Punk,Instrumental,Contemporary R&B,Funk,Kayōkyoku,Neo-Romantic
80,Math Rock,Field Recording,Canzone Napoletana,Novelty,Light Music,Latin,Polka,Progressive House,Latin Pop,Neo-Romantic,Country,Acid Rock,Score,Lo-Fi,Sea Shanties
81,Drone,Chiptune,Electro House,Avantgarde,Modern Classical,Trap,Comedy,Noise,Pop Rap,Heavy Metal,Easy Listening,House,Leftfield,Light Music,House
82,Crust,Freestyle,Leftfield,Tribal,Jazzy Hip-Hop,Salsa,Post Rock,J-pop,Reggae,Surf,Jazz-Funk,Indie Pop,Romantic,Swing,Bolero
83,Darkwave,Nu-Disco,Bubblegum,Hillbilly,Piano Blues,Punk,Flamenco,Glitch,Soul-Jazz,Promotional,Acid Jazz,Bayou Funk,Blues Rock,New Age,Monolog
84,Easy Listening,Post-Punk,Soul-Jazz,Andean Music,Trip Hop,Italo-Disco,Indie Rock,Folk Rock,Ska,RnB/Swing,Gangsta,Europop,Hardcore,Political,Techno
85,Leftfield,Tribal House,Progressive House,House,Psychedelic,Score,Electroacoustic,Acoustic,Acoustic,Cabaret,MPB,Schlager,Grindcore,J-pop,Rumba
86,Britpop,Contemporary R&B,Bolero,Rebetiko,Rumba,Ambient,Speech,Heavy Metal,Garage Rock,Avantgarde,Country Rock,Pub Rock,Nursery Rhymes,Therapy,Rhythm & Blues
87,Ethereal,Big Beat,Volksmusik,Abstract,Modern,Swing,Techno,Miami Bass,Quechua,Latin Jazz,Afro-Cuban,Arena Rock,Heavy Metal,Interview,Gypsy Jazz
88,Melodic Death Metal,Acid Jazz,Smooth Jazz,Romantic,Novelty,Minneapolis Sound,IDM,Jazz-Funk,Copla,Religious,Prog Rock,Psychedelic,House,RnB/Swing,Drone
89,Gothic Metal,Berlin-School,Enka,Electro,Jazzdance,Leftfield,Soft Rock,Chanson,Psychedelic,Bossa Nova,Fusion,Latin Jazz,Modern,Music Hall,Avantgarde
90,Goregrind,Lo-Fi,Romantic,Swing,Dub,Bossa Nova,Neofolk,New Wave,Pasodoble,Space-Age,Neo Soul,Noise,Choral,Contemporary Jazz,
91,Psychobilly,Folk,Classical,Raï,Deep House,Swingbeat,House,Vaporwave,Blues Rock,Dance-pop,Highlife,Neo Soul,Rhythmic Noise,New Wave,
92,Symphonic Metal,Soft Rock,Pop Punk,Poetry,Leftfield,Bayou Funk,Promotional,Funk Metal,Classic Rock,Monolog,Boogie,Spoken Word,Soft Rock,Polka,
93,Parody,Post Rock,Trip Hop,Afro-Cuban,Hip Hop,Religious,Free Jazz,African,Lambada,Breakbeat,Soul-Jazz,Theme,Glitch,Blues Rock,
94,Atmospheric Black Metal,Broken Beat,Ska,Marches,Contemporary R&B,Free Funk,Darkwave,Ragga,Rhythm & Blues,Minimal,Electro House,Score,Medical,Techno,
